frame_id,timestamp,x,y,z,velocity,range,azimuth,elevation,snr,noise
0,2025-05-15 12:31:29.879566,-0.014950400218367577,0.49580779671669006,0.0,-0.12072578817605972,0.49603314985164854,-1.7271518635488796,0.0,150,423
1,2025-05-15 12:31:30.646270,0.17940479516983032,0.46245303750038147,0.0,0.0,0.49603315657651154,21.20334741263287,0.0,243,405
1,2025-05-15 12:31:30.646270,0.17940479516983032,0.46245303750038147,0.0,-0.24145157635211945,0.49603315657651154,21.20334741263287,0.0,213,427
1,2025-05-15 12:31:30.646270,0.17940479516983032,0.46245303750038147,0.0,-0.12072578817605972,0.49603315657651154,21.20334741263287,0.0,288,412
2,2025-05-15 12:31:30.648434,0.20930559933185577,0.4497110843658447,0.0,-0.603628933429718,0.49603315747354154,24.95832218580271,0.0,303,417
2,2025-05-15 12:31:30.648434,0.20930559933185577,0.4497110843658447,0.0,-0.4829031527042389,0.49603315747354154,24.95832218580271,0.0,377,405
2,2025-05-15 12:31:30.648434,0.19435520470142365,0.4563715159893036,0.0,-0.36217737197875977,0.4960331704643425,23.067728338640652,0.0,316,415
3,2025-05-15 12:31:30.745700,0.19320517778396606,0.41511791944503784,0.0,-0.603628933429718,0.45787676045734277,24.958323468207112,0.0,318,423
3,2025-05-15 12:31:30.745700,0.20930559933185577,0.4497110843658447,0.0,-0.603628933429718,0.49603315747354154,24.95832218580271,0.0,343,426
3,2025-05-15 12:31:30.745700,0.19320517778396606,0.41511791944503784,0.0,-0.4829031527042389,0.45787676045734277,24.958323468207112,0.0,352,422
3,2025-05-15 12:31:30.745700,0.20930559933185577,0.4497110843658447,0.0,-0.4829031527042389,0.49603315747354154,24.95832218580271,0.0,398,420
3,2025-05-15 12:31:30.745700,0.19320517778396606,0.41511791944503784,0.0,-0.36217737197875977,0.45787676045734277,24.958323468207112,0.0,276,437
3,2025-05-15 12:31:30.745700,0.2242560088634491,0.44244563579559326,0.0,-0.36217737197875977,0.4960331623449486,26.878422228841192,0.0,357,432
4,2025-05-15 12:31:30.748327,0.2070055454969406,0.4084113538265228,0.0,0.0,0.4578767626784517,26.878422230595355,0.0,476,404
4,2025-05-15 12:31:30.748327,0.2242560088634491,0.44244563579559326,0.0,0.0,0.4960331623449486,26.878422228841192,0.0,497,407
4,2025-05-15 12:31:30.748327,0.19320517778396606,0.41511791944503784,0.0,0.12072578817605972,0.45787676045734277,24.958323468207112,0.0,520,401
4,2025-05-15 12:31:30.748327,0.20930559933185577,0.4497110843658447,0.0,0.12072578817605972,0.49603315747354154,24.95832218580271,0.0,539,408
4,2025-05-15 12:31:30.748327,0.19320517778396606,0.41511791944503784,0.0,0.24145157635211945,0.45787676045734277,24.958323468207112,0.0,448,407
4,2025-05-15 12:31:30.748327,0.20930559933185577,0.4497110843658447,0.0,0.24145157635211945,0.49603315747354154,24.95832218580271,0.0,470,415
4,2025-05-15 12:31:30.748327,0.17940479516983032,0.42126601934432983,0.0,0.36217737197875977,0.4578767733617267,23.06772705812111,0.0,349,427
4,2025-05-15 12:31:30.748327,0.19435520470142365,0.4563715159893036,0.0,0.36217737197875977,0.4960331704643425,23.067728338640652,0.0,393,428
5,2025-05-15 12:31:30.848338,0.2070055454969406,0.4084113538265228,0.0,0.0,0.4578767626784517,26.878422230595355,0.0,307,398
5,2025-05-15 12:31:30.848338,0.2242560088634491,0.44244563579559326,0.0,0.0,0.4960331623449486,26.878422228841192,0.0,357,399
5,2025-05-15 12:31:30.848338,0.2070055454969406,0.4084113538265228,0.0,0.12072578817605972,0.4578767626784517,26.878422230595355,0.0,285,411
5,2025-05-15 12:31:30.848338,0.23920640349388123,0.4345448315143585,0.0,0.12072578817605972,0.49603317839467126,28.831718536798913,0.0,277,409
5,2025-05-15 12:31:30.848338,0.22080591320991516,0.40111827850341797,0.0,-0.24145157635211945,0.45787675706243286,28.831720448167204,0.0,231,428
5,2025-05-15 12:31:30.848338,0.23920640349388123,0.4345448315143585,0.0,-0.24145157635211945,0.49603317839467126,28.831718536798913,0.0,300,430
5,2025-05-15 12:31:30.848338,0.2070055454969406,0.4084113538265228,0.0,-0.12072578817605972,0.4578767626784517,26.878422230595355,0.0,300,420
5,2025-05-15 12:31:30.848338,0.23920640349388123,0.4345448315143585,0.0,-0.12072578817605972,0.49603317839467126,28.831718536798913,0.0,373,420
6,2025-05-15 12:31:30.949664,0.2070055454969406,0.4084113538265228,0.0,0.0,0.4578767626784517,26.878422230595355,0.0,359,397
6,2025-05-15 12:31:30.949664,0.23920640349388123,0.4345448315143585,0.0,0.0,0.49603317839467126,28.831718536798913,0.0,365,394
6,2025-05-15 12:31:30.949664,0.19320517778396606,0.41511791944503784,0.0,0.12072578817605972,0.45787676045734277,24.958323468207112,0.0,428,410
6,2025-05-15 12:31:30.949664,0.20930559933185577,0.4497110843658447,0.0,0.12072578817605972,0.49603315747354154,24.95832218580271,0.0,457,400
6,2025-05-15 12:31:30.949664,0.19320517778396606,0.41511791944503784,0.0,0.24145157635211945,0.45787676045734277,24.958323468207112,0.0,427,416
6,2025-05-15 12:31:30.949664,0.20930559933185577,0.4497110843658447,0.0,0.24145157635211945,0.49603315747354154,24.95832218580271,0.0,458,416
6,2025-05-15 12:31:30.949664,0.17710474133491516,0.38052475452423096,0.0,0.36217737197875977,0.41972035715346645,24.958323139586277,0.0,168,486
6,2025-05-15 12:31:30.949664,0.19320517778396606,0.41511791944503784,0.0,0.36217737197875977,0.45787676045734277,24.958323468207112,0.0,331,418
6,2025-05-15 12:31:30.949664,0.20930559933185577,0.4497110843658447,0.0,0.36217737197875977,0.49603315747354154,24.95832218580271,0.0,365,418
7,2025-05-15 12:31:31.048348,0.2070055454969406,0.4084113538265228,0.0,0.0,0.4578767626784517,26.878422230595355,0.0,257,402
7,2025-05-15 12:31:31.048348,0.2242560088634491,0.44244563579559326,0.0,0.0,0.4960331623449486,26.878422228841192,0.0,320,404
7,2025-05-15 12:31:31.048348,0.19320517778396606,0.41511791944503784,0.0,0.12072578817605972,0.45787676045734277,24.958323468207112,0.0,245,423
7,2025-05-15 12:31:31.048348,0.20930559933185577,0.4497110843658447,0.0,0.12072578817605972,0.49603315747354154,24.95832218580271,0.0,321,414
7,2025-05-15 12:31:31.048348,0.2070055454969406,0.4084113538265228,0.0,-0.24145157635211945,0.4578767626784517,26.878422230595355,0.0,229,421
7,2025-05-15 12:31:31.048348,0.23920640349388123,0.4345448315143585,0.0,-0.24145157635211945,0.49603317839467126,28.831718536798913,0.0,275,429
7,2025-05-15 12:31:31.048348,0.2070055454969406,0.4084113538265228,0.0,-0.12072578817605972,0.4578767626784517,26.878422230595355,0.0,315,422
7,2025-05-15 12:31:31.048348,0.2242560088634491,0.44244563579559326,0.0,-0.12072578817605972,0.4960331623449486,26.878422228841192,0.0,366,425
8,2025-05-15 12:31:31.148340,0.22080591320991516,0.40111827850341797,0.0,0.0,0.45787675706243286,28.831720448167204,0.0,242,407
8,2025-05-15 12:31:31.148340,0.25415679812431335,0.4259732663631439,0.0,0.0,0.49603316591624086,30.82239996956681,0.0,322,408
8,2025-05-15 12:31:31.148340,0.22080591320991516,0.40111827850341797,0.0,0.12072578817605972,0.45787675706243286,28.831720448167204,0.0,320,419
8,2025-05-15 12:31:31.148340,0.23920640349388123,0.4345448315143585,0.0,0.12072578817605972,0.49603317839467126,28.831718536798913,0.0,404,418
8,2025-05-15 12:31:31.148340,0.2070055454969406,0.4084113538265228,0.0,0.24145157635211945,0.4578767626784517,26.878422230595355,0.0,221,433
