frame_id,timestamp,video_frame_number
0,2025-05-15 12:31:26.636592,0
0,2025-05-15 12:31:26.675927,1
0,2025-05-15 12:31:26.713462,2
0,2025-05-15 12:31:26.750454,3
0,2025-05-15 12:31:26.786648,4
0,2025-05-15 12:31:26.823511,5
0,2025-05-15 12:31:26.859766,6
0,2025-05-15 12:31:26.896144,7
0,2025-05-15 12:31:26.932982,8
0,2025-05-15 12:31:26.969417,9
0,2025-05-15 12:31:27.005436,10
0,2025-05-15 12:31:27.042084,11
0,2025-05-15 12:31:27.078300,12
0,2025-05-15 12:31:27.114724,13
0,2025-05-15 12:31:27.151710,14
0,2025-05-15 12:31:27.187963,15
0,2025-05-15 12:31:27.224158,16
0,2025-05-15 12:31:27.260741,17
0,2025-05-15 12:31:27.296967,18
0,2025-05-15 12:31:27.333771,19
0,2025-05-15 12:31:27.370986,20
0,2025-05-15 12:31:27.407161,21
0,2025-05-15 12:31:27.443297,22
0,2025-05-15 12:31:27.480104,23
0,2025-05-15 12:31:27.516628,24
0,2025-05-15 12:31:27.553280,25
0,2025-05-15 12:31:27.589890,26
0,2025-05-15 12:31:27.626169,27
0,2025-05-15 12:31:27.662501,28
0,2025-05-15 12:31:27.699364,29
0,2025-05-15 12:31:27.735811,30
0,2025-05-15 12:31:27.772093,31
0,2025-05-15 12:31:27.808922,32
0,2025-05-15 12:31:27.845225,33
0,2025-05-15 12:31:27.881612,34
0,2025-05-15 12:31:27.918674,35
0,2025-05-15 12:31:27.954987,36
0,2025-05-15 12:31:27.991034,37
0,2025-05-15 12:31:28.027671,38
0,2025-05-15 12:31:28.063916,39
0,2025-05-15 12:31:28.100332,40
0,2025-05-15 12:31:28.137368,41
0,2025-05-15 12:31:28.189213,42
0,2025-05-15 12:31:28.230288,43
0,2025-05-15 12:31:28.271220,44
0,2025-05-15 12:31:28.309985,45
0,2025-05-15 12:31:28.347530,46
0,2025-05-15 12:31:28.389743,47
0,2025-05-15 12:31:28.427475,48
0,2025-05-15 12:31:28.464730,49
0,2025-05-15 12:31:28.501492,50
0,2025-05-15 12:31:28.541529,51
0,2025-05-15 12:31:28.578530,52
0,2025-05-15 12:31:28.615353,53
0,2025-05-15 12:31:28.652660,54
0,2025-05-15 12:31:28.692692,55
0,2025-05-15 12:31:28.729461,56
0,2025-05-15 12:31:28.766402,57
0,2025-05-15 12:31:28.803337,58
0,2025-05-15 12:31:28.845189,59
0,2025-05-15 12:31:28.882492,60
0,2025-05-15 12:31:28.919764,61
0,2025-05-15 12:31:28.956773,62
0,2025-05-15 12:31:28.997336,63
0,2025-05-15 12:31:29.034446,64
0,2025-05-15 12:31:29.074211,65
0,2025-05-15 12:31:29.118254,66
0,2025-05-15 12:31:29.165448,67
0,2025-05-15 12:31:29.210724,68
0,2025-05-15 12:31:29.248175,69
0,2025-05-15 12:31:29.284726,70
0,2025-05-15 12:31:29.326754,71
0,2025-05-15 12:31:29.364000,72
0,2025-05-15 12:31:29.401998,73
0,2025-05-15 12:31:29.444191,74
0,2025-05-15 12:31:29.488683,75
0,2025-05-15 12:31:29.527631,76
0,2025-05-15 12:31:29.571068,77
0,2025-05-15 12:31:29.615372,78
0,2025-05-15 12:31:29.664798,79
0,2025-05-15 12:31:29.709608,80
0,2025-05-15 12:31:29.753278,81
0,2025-05-15 12:31:29.795628,82
0,2025-05-15 12:31:29.836148,83
1,2025-05-15 12:31:29.887009,84
1,2025-05-15 12:31:29.925107,85
1,2025-05-15 12:31:29.964190,86
1,2025-05-15 12:31:30.007637,87
1,2025-05-15 12:31:30.057635,88
1,2025-05-15 12:31:30.095750,89
1,2025-05-15 12:31:30.132968,90
1,2025-05-15 12:31:30.185448,91
1,2025-05-15 12:31:30.223327,92
1,2025-05-15 12:31:30.260988,93
1,2025-05-15 12:31:30.298952,94
1,2025-05-15 12:31:30.340574,95
1,2025-05-15 12:31:30.385972,96
1,2025-05-15 12:31:30.424648,97
1,2025-05-15 12:31:30.461745,98
1,2025-05-15 12:31:30.502426,99
1,2025-05-15 12:31:30.540760,100
1,2025-05-15 12:31:30.583949,101
1,2025-05-15 12:31:30.621963,102
3,2025-05-15 12:31:30.664031,103
3,2025-05-15 12:31:30.702090,104
3,2025-05-15 12:31:30.739920,105
5,2025-05-15 12:31:30.777316,106
5,2025-05-15 12:31:30.818939,107
6,2025-05-15 12:31:30.857651,108
6,2025-05-15 12:31:30.895280,109
6,2025-05-15 12:31:30.932316,110
7,2025-05-15 12:31:30.975082,111
7,2025-05-15 12:31:31.013737,112
8,2025-05-15 12:31:31.051626,113
8,2025-05-15 12:31:31.089215,114
8,2025-05-15 12:31:31.130285,115
9,2025-05-15 12:31:31.167776,116
9,2025-05-15 12:31:31.206015,117
9,2025-05-15 12:31:31.244285,118
10,2025-05-15 12:31:31.285512,119
10,2025-05-15 12:31:31.323389,120
11,2025-05-15 12:31:31.360448,121
11,2025-05-15 12:31:31.397559,122
11,2025-05-15 12:31:31.442449,123
12,2025-05-15 12:31:31.481487,124
12,2025-05-15 12:31:31.518436,125
13,2025-05-15 12:31:31.555496,126
13,2025-05-15 12:31:31.597491,127
13,2025-05-15 12:31:31.635606,128
14,2025-05-15 12:31:31.672975,129
14,2025-05-15 12:31:31.711379,130
15,2025-05-15 12:31:31.752283,131
15,2025-05-15 12:31:31.789648,132
15,2025-05-15 12:31:31.827215,133
16,2025-05-15 12:31:31.864805,134
16,2025-05-15 12:31:31.908817,135
16,2025-05-15 12:31:31.946985,136
17,2025-05-15 12:31:31.984137,137
17,2025-05-15 12:31:32.021390,138
18,2025-05-15 12:31:32.062146,139
18,2025-05-15 12:31:32.099561,140
18,2025-05-15 12:31:32.136642,141
19,2025-05-15 12:31:32.174021,142
19,2025-05-15 12:31:32.214468,143
20,2025-05-15 12:31:32.252061,144
20,2025-05-15 12:31:32.289138,145
20,2025-05-15 12:31:32.326571,146
21,2025-05-15 12:31:32.367486,147
21,2025-05-15 12:31:32.406819,148
21,2025-05-15 12:31:32.444737,149
22,2025-05-15 12:31:32.483626,150
22,2025-05-15 12:31:32.524177,151
23,2025-05-15 12:31:32.561854,152
23,2025-05-15 12:31:32.599666,153
23,2025-05-15 12:31:32.638314,154
24,2025-05-15 12:31:32.680367,155
24,2025-05-15 12:31:32.719496,156
25,2025-05-15 12:31:32.757391,157
25,2025-05-15 12:31:32.795772,158
25,2025-05-15 12:31:32.839609,159
26,2025-05-15 12:31:32.878223,160
26,2025-05-15 12:31:32.916014,161
27,2025-05-15 12:31:32.953511,162
27,2025-05-15 12:31:32.995554,163
27,2025-05-15 12:31:33.034417,164
28,2025-05-15 12:31:33.072163,165
28,2025-05-15 12:31:33.110143,166
29,2025-05-15 12:31:33.153444,167
29,2025-05-15 12:31:33.192291,168
29,2025-05-15 12:31:33.230042,169
30,2025-05-15 12:31:33.268515,170
30,2025-05-15 12:31:33.310910,171
31,2025-05-15 12:31:33.349332,172
31,2025-05-15 12:31:33.387000,173
31,2025-05-15 12:31:33.425528,174
31,2025-05-15 12:31:33.466622,175
31,2025-05-15 12:31:33.504484,176
31,2025-05-15 12:31:33.543358,177
32,2025-05-15 12:31:33.582159,178
32,2025-05-15 12:31:33.623987,179
32,2025-05-15 12:31:33.662412,180
32,2025-05-15 12:31:33.699782,181
32,2025-05-15 12:31:33.739115,182
32,2025-05-15 12:31:33.780916,183
32,2025-05-15 12:31:33.819264,184
33,2025-05-15 12:31:33.856971,185
33,2025-05-15 12:31:33.895596,186
33,2025-05-15 12:31:33.936723,187
33,2025-05-15 12:31:33.974594,188
33,2025-05-15 12:31:34.012716,189
34,2025-05-15 12:31:34.052154,190
34,2025-05-15 12:31:34.093754,191
34,2025-05-15 12:31:34.133802,192
35,2025-05-15 12:31:34.171774,193
35,2025-05-15 12:31:34.209336,194
36,2025-05-15 12:31:34.253159,195
36,2025-05-15 12:31:34.291786,196
36,2025-05-15 12:31:34.330530,197
37,2025-05-15 12:31:34.369131,198
37,2025-05-15 12:31:34.411203,199
37,2025-05-15 12:31:34.450439,200
38,2025-05-15 12:31:34.488628,201
38,2025-05-15 12:31:34.526503,202
39,2025-05-15 12:31:34.569971,203
39,2025-05-15 12:31:34.608291,204
39,2025-05-15 12:31:34.647337,205
40,2025-05-15 12:31:34.687278,206
40,2025-05-15 12:31:34.730387,207
41,2025-05-15 12:31:34.770284,208
41,2025-05-15 12:31:34.808329,209
41,2025-05-15 12:31:34.846168,210
42,2025-05-15 12:31:34.890142,211
42,2025-05-15 12:31:34.928488,212
43,2025-05-15 12:31:34.966736,213
43,2025-05-15 12:31:35.005094,214
43,2025-05-15 12:31:35.046155,215
44,2025-05-15 12:31:35.087044,216
44,2025-05-15 12:31:35.124636,217
45,2025-05-15 12:31:35.161862,218
