frame_id,timestamp_mmwave,x,y,z,velocity,range,azimuth,elevation,snr,noise,timestamp_dist,box1_distance,box2_distance,box3_distance,box4_distance,box5_distance,box1_active,box2_active,box3_active,box4_active,box5_active,timestamp,loop_id
0,2025-05-15 12:31:29.879566,-0.0149504002183675,0.49580779671669,0.0,-0.1207257881760597,0.4960331498516485,-1.7271518635488796,0.0,150,423,2025-05-15 12:31:26.682763,167.0,208.0,187.0,189.0,219.0,0,0,0,0,0,2025-05-15 12:31:29.879566,0
1,2025-05-15 12:31:30.646270,0.1794047951698303,0.4624530375003814,0.0,-0.2414515763521194,0.4960331565765115,21.20334741263287,0.0,213,427,2025-05-15 12:31:29.894382,166.0,210.0,180.0,194.0,218.0,0,0,0,0,0,2025-05-15 12:31:30.646270,0
1,2025-05-15 12:31:30.646270,0.1794047951698303,0.4624530375003814,0.0,-0.1207257881760597,0.4960331565765115,21.20334741263287,0.0,288,412,2025-05-15 12:31:29.894382,166.0,210.0,180.0,194.0,218.0,0,0,0,0,0,2025-05-15 12:31:30.646270,0
3,2025-05-15 12:31:30.745700,0.193205177783966,0.4151179194450378,0.0,-0.603628933429718,0.4578767604573427,24.958323468207112,0.0,318,423,2025-05-15 12:31:30.658165,167.0,210.0,182.0,194.0,220.0,0,0,0,0,0,2025-05-15 12:31:30.745700,0
3,2025-05-15 12:31:30.745700,0.2093055993318557,0.4497110843658447,0.0,-0.603628933429718,0.4960331574735415,24.95832218580271,0.0,343,426,2025-05-15 12:31:30.658165,167.0,210.0,182.0,194.0,220.0,0,0,0,0,0,2025-05-15 12:31:30.745700,0
3,2025-05-15 12:31:30.745700,0.193205177783966,0.4151179194450378,0.0,-0.4829031527042389,0.4578767604573427,24.958323468207112,0.0,352,422,2025-05-15 12:31:30.658165,167.0,210.0,182.0,194.0,220.0,0,0,0,0,0,2025-05-15 12:31:30.745700,0
3,2025-05-15 12:31:30.745700,0.2093055993318557,0.4497110843658447,0.0,-0.4829031527042389,0.4960331574735415,24.95832218580271,0.0,398,420,2025-05-15 12:31:30.658165,167.0,210.0,182.0,194.0,220.0,0,0,0,0,0,2025-05-15 12:31:30.745700,0
3,2025-05-15 12:31:30.745700,0.193205177783966,0.4151179194450378,0.0,-0.3621773719787597,0.4578767604573427,24.958323468207112,0.0,276,437,2025-05-15 12:31:30.658165,167.0,210.0,182.0,194.0,220.0,0,0,0,0,0,2025-05-15 12:31:30.745700,0
3,2025-05-15 12:31:30.745700,0.2242560088634491,0.4424456357955932,0.0,-0.3621773719787597,0.4960331623449486,26.878422228841192,0.0,357,432,2025-05-15 12:31:30.658165,167.0,210.0,182.0,194.0,220.0,0,0,0,0,0,2025-05-15 12:31:30.745700,0
5,2025-05-15 12:31:30.848338,0.2070055454969406,0.4084113538265228,0.0,0.1207257881760597,0.4578767626784517,26.878422230595355,0.0,285,411,2025-05-15 12:31:30.754356,165.0,212.0,184.0,191.0,217.0,0,0,0,0,0,2025-05-15 12:31:30.848338,0
5,2025-05-15 12:31:30.848338,0.2392064034938812,0.4345448315143585,0.0,0.1207257881760597,0.4960331783946712,28.831718536798917,0.0,277,409,2025-05-15 12:31:30.754356,165.0,212.0,184.0,191.0,217.0,0,0,0,0,0,2025-05-15 12:31:30.848338,0
5,2025-05-15 12:31:30.848338,0.2208059132099151,0.4011182785034179,0.0,-0.2414515763521194,0.4578767570624328,28.831720448167204,0.0,231,428,2025-05-15 12:31:30.754356,165.0,212.0,184.0,191.0,217.0,0,0,0,0,0,2025-05-15 12:31:30.848338,0
5,2025-05-15 12:31:30.848338,0.2392064034938812,0.4345448315143585,0.0,-0.2414515763521194,0.4960331783946712,28.831718536798917,0.0,300,430,2025-05-15 12:31:30.754356,165.0,212.0,184.0,191.0,217.0,0,0,0,0,0,2025-05-15 12:31:30.848338,0
5,2025-05-15 12:31:30.848338,0.2070055454969406,0.4084113538265228,0.0,-0.1207257881760597,0.4578767626784517,26.878422230595355,0.0,300,420,2025-05-15 12:31:30.754356,165.0,212.0,184.0,191.0,217.0,0,0,0,0,0,2025-05-15 12:31:30.848338,0
5,2025-05-15 12:31:30.848338,0.2392064034938812,0.4345448315143585,0.0,-0.1207257881760597,0.4960331783946712,28.831718536798917,0.0,373,420,2025-05-15 12:31:30.754356,165.0,212.0,184.0,191.0,217.0,0,0,0,0,0,2025-05-15 12:31:30.848338,0
6,2025-05-15 12:31:30.949664,0.193205177783966,0.4151179194450378,0.0,0.1207257881760597,0.4578767604573427,24.958323468207112,0.0,428,410,2025-05-15 12:31:30.849115,168.0,212.0,182.0,191.0,212.0,0,0,0,0,0,2025-05-15 12:31:30.949664,0
6,2025-05-15 12:31:30.949664,0.2093055993318557,0.4497110843658447,0.0,0.1207257881760597,0.4960331574735415,24.95832218580271,0.0,457,400,2025-05-15 12:31:30.849115,168.0,212.0,182.0,191.0,212.0,0,0,0,0,0,2025-05-15 12:31:30.949664,0
6,2025-05-15 12:31:30.949664,0.193205177783966,0.4151179194450378,0.0,0.2414515763521194,0.4578767604573427,24.958323468207112,0.0,427,416,2025-05-15 12:31:30.849115,168.0,212.0,182.0,191.0,212.0,0,0,0,0,0,2025-05-15 12:31:30.949664,0
6,2025-05-15 12:31:30.949664,0.2093055993318557,0.4497110843658447,0.0,0.2414515763521194,0.4960331574735415,24.95832218580271,0.0,458,416,2025-05-15 12:31:30.849115,168.0,212.0,182.0,191.0,212.0,0,0,0,0,0,2025-05-15 12:31:30.949664,0
6,2025-05-15 12:31:30.949664,0.1771047413349151,0.3805247545242309,0.0,0.3621773719787597,0.4197203571534664,24.95832313958628,0.0,168,486,2025-05-15 12:31:30.849115,168.0,212.0,182.0,191.0,212.0,0,0,0,0,0,2025-05-15 12:31:30.949664,0
6,2025-05-15 12:31:30.949664,0.193205177783966,0.4151179194450378,0.0,0.3621773719787597,0.4578767604573427,24.958323468207112,0.0,331,418,2025-05-15 12:31:30.849115,168.0,212.0,182.0,191.0,212.0,0,0,0,0,0,2025-05-15 12:31:30.949664,0
6,2025-05-15 12:31:30.949664,0.2093055993318557,0.4497110843658447,0.0,0.3621773719787597,0.4960331574735415,24.95832218580271,0.0,365,418,2025-05-15 12:31:30.849115,168.0,212.0,182.0,191.0,212.0,0,0,0,0,0,2025-05-15 12:31:30.949664,0
